ds,yhat,yhat_lower,yhat_upper,country,alert
2023-03-10,-100589.9502099343,-187240.36382280948,-15449.089833792807,US,Normal
2023-03-11,-104745.51519134466,-193319.0661992693,-14843.692464423302,US,Normal
2023-03-12,-108725.51344878573,-200104.07420205962,-20867.26842412532,US,Normal
2023-03-13,-112461.42378560288,-195025.29044381742,-29684.463551485893,US,Normal
2023-03-14,-115877.47842632324,-209011.95081116856,-28805.270836242118,US,Normal
2023-03-15,-120051.14860020991,-202716.36018703796,-33569.2767870359,US,Normal
2023-03-16,-122657.70595911739,-213765.96386103777,-36004.832808684674,US,Normal
2023-03-17,-125657.92217772613,-210664.6200641869,-38342.5440887432,US,Normal
2023-03-18,-127506.34153443362,-210747.05535358292,-42373.672517915475,US,Normal
2023-03-19,-128927.63837072588,-215577.75661166589,-37616.622259009775,US,Normal
2023-03-20,-129916.2883755194,-224397.0059066528,-41417.1812202277,US,Normal
2023-03-21,-130463.14566505307,-213639.63394315142,-37712.22279175662,US,Normal
2023-03-22,-131713.97217745756,-225668.55630547713,-44657.84438703088,US,Normal
2023-03-23,-131412.0565991573,-221132.6116552225,-39657.53870709913,US,Normal
2023-03-24,-131584.03821736644,-227071.88993898316,-49107.03930868091,US,Normal
2023-03-25,-130746.42037584557,-214177.1024665495,-37264.57682560175,US,Normal
2023-03-26,-129680.330835764,-221199.28261356655,-33354.224537007416,US,Normal
2023-03-27,-128429.79775691827,-216910.60148132598,-34465.91601545482,US,Normal
2023-03-28,-127027.16642548409,-213492.3744555283,-37236.85130104498,US,Normal
2023-03-29,-126650.72901317841,-207796.63410474395,-34651.9137396695,US,Normal
2023-03-30,-125066.72240963567,-218107.36419870023,-37294.54635571236,US,Normal
2023-03-31,-124314.81908482063,-212463.86881052438,-39177.13120579171,US,Normal
2023-04-01,-122914.59688071927,-206724.1825437484,-40667.7313250636,US,Normal
2023-04-02,-121640.53807006248,-210505.96708042244,-32771.46410990524,US,Normal
2023-04-03,-120520.81163276857,-208337.92574007637,-36205.02261460886,US,Normal
2023-04-04,-119563.44190786779,-207879.29690902575,-29150.417193975834,US,Normal
2023-04-05,-119914.90752304997,-205411.01851379932,-33159.53183270176,US,Normal
2023-04-06,-119303.29180228236,-215453.6673673541,-30503.697363606825,US,Normal
2023-04-07,-119725.07140014844,-208761.84510427655,-34220.13734683406,US,Normal
2023-04-08,-119652.98768087139,-203652.08525005894,-27256.525702841747,US,Normal
2023-04-09,-119812.50788545032,-213197.77712770927,-31102.639145958812,US,Normal
2023-04-10,-120182.08611957479,-204892.94435749785,-27123.645667559867,US,Normal
2023-04-11,-120720.78405800121,-208043.32869021574,-34662.854527717565,US,Normal
2023-04-12,-122528.25389629925,-209363.25384723183,-27729.345647093316,US,Normal
2023-04-13,-123289.16642510981,-212629.1783001557,-38575.195576887105,US,Normal
2023-04-14,-124961.13673702691,-215192.77149887275,-35782.91877054525,US,Normal
